QN6,QN7,QN8,QN9,QN10,QN11,QN12,QN13,QN14,QN15,QN16,QN17,QN18,QN19,QN20,QN21,QN22,QN23,QN24,QN26,QN27,QN34,QN35,QN36,QN37,QN38,QN39,QN40,QN44,QN45,QN46,QN47,QN48,QN49,QN50,QN51,QN52,QN53,QN54,QN55,QN56,QN57,QN58
2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,,2.0,2.0,,2.0,,2.0,,,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0
2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,,,2.0,,2.0,,,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0
2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,2.0,2.0,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0
2.0,1.0,2.0,1.0,2.0,,,1.0,1.0,2.0,2.0,1.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,1.0,2.0,1.0,2.0,,2.0,,,2.0,,,1.0,,2.0,,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,1.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,1.0,,2.0,,,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0
2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,,,2.0,,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0
2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,,,2.0,,,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0
2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,,,2.0,,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0
2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,1.0,2.0,,2.0,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,
1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,2.0,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,,2.0,1.0,2.0,2.0,2.0,2.0,1.0
1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,2.0,,,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,1.0,2.0,,2.0,,2.0,,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,2.0,2.0
2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,,1.0,2.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,,1.0,,,,,,,2.0,,2.0,,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,1.0,,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,,,2.0,1.0,2.0,2.0,,2.0,2.0,2.0,1.0,1.0,1.0,,2.0
2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,2.0,,2.0,2.0,2.0,1.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2.0,2.0,2.0,1.0,,2.0,2.0,2.0,2.0,,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0
2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0
2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,2.0,,2.0,,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,2.0,,2.0,,,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,2.0,1.0,2.0,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,,,1.0,2.0,2.0,2.0,1.0,1.0,2.0,,2.0,,,2.0,2.0,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0
2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,,2.0,2.0,1.0,2.0,2.0,,,2.0,,2.0,2.0,,2.0,,2.0,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0
2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0
2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0
2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0
2.0,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,1.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,,2.0,,2.0,,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0
2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0
2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,1.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0
2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0
2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,,,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,,,2.0,,,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0
2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,,2.0,2.0,,,2.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,1.0,,2.0,,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,2.0,2.0,,2.0,2.0,1.0,1.0,2.0,2.0,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0
2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,2.0,2.0,,1.0,,2.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0
2.0,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,,,,2.0,2.0,1.0,2.0,,2.0,,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,2.0,1.0
2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,1.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,,,2.0,,2.0,,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,,,,,2.0,,,2.0,,2.0,,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0
2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,1.0,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,1.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,,,2.0,,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,1.0,2.0,2.0,2.0,1.0,1.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,2.0,,,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,,,,,,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0
2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0
2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
2.0,2.0,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,,2.0,2.0,2.0,1.0,2.0,,2.0,2.0,,2.0,2.0,,,,2.0,,,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0
2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,,2.0,,,1.0,2.0,1.0,1.0,,2.0,2.0,1.0,1.0,1.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,1.0,2.0,1.0,2.0,1.0,2.0,,2.0,2.0,2.0,2.0,,1.0,2.0,,,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,1.0,2.0,2.0,2.0,2.0
2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,1.0,2.0,2.0,1.0,2.0,1.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,1.0,2.0,2.0,1.0,1.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,,2.0,2.0,,,2.0,1.0,2.0,2.0,2.0,1.0
